Gene ID	source_id
LmxM.01.0380	LmxM.01.0380.1
LmxM.02.0150	LmxM.02.0150.1
LmxM.02.0260	LmxM.02.0260.1
LmxM.02.0330	LmxM.02.0330.1
LmxM.03.0480	LmxM.03.0480.1
LmxM.03.0920	LmxM.03.0920.1
LmxM.05.0030	LmxM.05.0030.1
LmxM.05.0810	LmxM.05.0810.1
LmxM.05.1140	LmxM.05.1140.1
LmxM.06.0110	LmxM.06.0110.1
LmxM.07.0080	LmxM.07.0080.1
LmxM.07.0140	LmxM.07.0140.1
LmxM.08.0090	LmxM.08.0090.1
LmxM.08_29.0220	LmxM.08_29.0220.1
LmxM.08_29.0630	LmxM.08_29.0630.1
LmxM.08_29.1230	LmxM.08_29.1230.1
LmxM.10.0310	LmxM.10.0310.1
LmxM.10.0560	LmxM.10.0560.1
LmxM.10.0570	LmxM.10.0570.1
LmxM.11.0300	LmxM.11.0300.1
LmxM.11.1160	LmxM.11.1160.1
LmxM.13.0480	LmxM.13.0480.1
LmxM.14.0230	LmxM.14.0230.1
LmxM.15.0840	LmxM.15.0840.1
LmxM.15.1530	LmxM.15.1530.1
LmxM.16.1180	LmxM.16.1180.1
LmxM.16.1400	LmxM.16.1400.1
LmxM.17.0380	LmxM.17.0380.1
LmxM.18.0400	LmxM.18.0400.1
LmxM.18.0550	LmxM.18.0550.1
LmxM.18.1620	LmxM.18.1620.1
LmxM.19.0070	LmxM.19.0070.1
LmxM.19.0110	LmxM.19.0110.1
LmxM.19.0770	LmxM.19.0770.1
LmxM.19.0810	LmxM.19.0810.1
LmxM.20.1140	LmxM.20.1140.1
LmxM.20.1350	LmxM.20.1350.1
LmxM.21.0470	LmxM.21.0470.1
LmxM.21.1130	LmxM.21.1130.1
LmxM.21.1540	LmxM.21.1540.1
LmxM.23.1510	LmxM.23.1510.1
LmxM.24.0360	LmxM.24.0360.1
LmxM.24.0365	LmxM.24.0365.1
LmxM.24.0680	LmxM.24.0680.1
LmxM.24.1540	LmxM.24.1540.1
LmxM.24.1770	LmxM.24.1770.1
LmxM.24.2170	LmxM.24.2170.1
LmxM.25.0060	LmxM.25.0060.1
LmxM.25.0090	LmxM.25.0090.1
LmxM.25.1160	LmxM.25.1160.1
LmxM.25.1340	LmxM.25.1340.1
LmxM.26.0350	LmxM.26.0350.1
LmxM.26.0660	LmxM.26.0660.1
LmxM.26.1480	LmxM.26.1480.1
LmxM.26.1620	LmxM.26.1620.1
LmxM.26.1850	LmxM.26.1850.1
LmxM.26.2360	LmxM.26.2360.1
LmxM.26.2480	LmxM.26.2480.1
LmxM.27.0390	LmxM.27.0390.1
LmxM.27.1760	LmxM.27.1760.1
LmxM.27.2040	LmxM.27.2040.1
LmxM.28.0650	LmxM.28.0650.1
LmxM.28.2620	LmxM.28.2620.1
LmxM.28.2900	LmxM.28.2900.1
LmxM.29.0140	LmxM.29.0140.1
LmxM.29.0330	LmxM.29.0330.1
LmxM.30.0110	LmxM.30.0110.1
LmxM.30.0600	LmxM.30.0600.1
LmxM.30.1220	LmxM.30.1220.1
LmxM.30.2740	LmxM.30.2740.1
LmxM.31.1050	LmxM.31.1050.1
LmxM.31.1230	LmxM.31.1230.1
LmxM.31.1730	LmxM.31.1730.1
LmxM.31.1870	LmxM.31.1870.1
LmxM.31.2270	LmxM.31.2270.1
LmxM.31.2720	LmxM.31.2720.1
LmxM.31.2800	LmxM.31.2800.1
LmxM.31.2920	LmxM.31.2920.1
LmxM.31.3190	LmxM.31.3190.1
LmxM.31.3300	LmxM.31.3300.1
LmxM.31.3410	LmxM.31.3410.1
LmxM.32.1530	LmxM.32.1530.1
LmxM.32.2350	LmxM.32.2350.1
LmxM.32.2380	LmxM.32.2380.1
LmxM.32.3210	LmxM.32.3210.1
LmxM.33.0370	LmxM.33.0370.1
LmxM.33.2660	LmxM.33.2660.1
LmxM.33.3970	LmxM.33.3970.1
LmxM.33.4310	LmxM.33.4310.1
LmxM.34.0110	LmxM.34.0110.1
LmxM.34.0210	LmxM.34.0210.1
LmxM.34.1850	LmxM.34.1850.1
LmxM.34.2510	LmxM.34.2510.1
LmxM.34.2700	LmxM.34.2700.1
LmxM.34.2880	LmxM.34.2880.1
LmxM.34.3320	LmxM.34.3320.1
LmxM.34.3930	LmxM.34.3930.1
LmxM.36.1630	LmxM.36.1630.1
LmxM.36.1730	LmxM.36.1730.1
LmxM.36.4020	LmxM.36.4020.1
LmxM.36.4100	LmxM.36.4100.1
LmxM.36.5260	LmxM.36.5260.1
LmxM.36.5280	LmxM.36.5280.1
LmxM.36.6040	LmxM.36.6040.1
LmxM.36.6210	LmxM.36.6210.1
LmxM.36.6430	LmxM.36.6430.1
