Gene ID	source_id
LmxM.03.0410	LmxM.03.0410.1
LmxM.04.0780	LmxM.04.0780.1
LmxM.06.0030	LmxM.06.0030.1
LmxM.06.0090	LmxM.06.0090.1
LmxM.07.0520	LmxM.07.0520.1
LmxM.08_29.0110	LmxM.08_29.0110.1
LmxM.08_29.0710	LmxM.08_29.0710.1
LmxM.08_29.0880	LmxM.08_29.0880.1
LmxM.08_29.1450	LmxM.08_29.1450.1
LmxM.08_29.2440	LmxM.08_29.2440.1
LmxM.09.0100	LmxM.09.0100.1
LmxM.09.0440	LmxM.09.0440.1
LmxM.09.1050	LmxM.09.1050.1
LmxM.09.1490	LmxM.09.1490.1
LmxM.10.0620	LmxM.10.0620.1
LmxM.10.0630	LmxM.10.0630.1
LmxM.11.0350	LmxM.11.0350.1
LmxM.11.1090	LmxM.11.1090.1
LmxM.12.0570	LmxM.12.0570.1
LmxM.12.0590	LmxM.12.0590.1
LmxM.12.0680	LmxM.12.0680.1
LmxM.12.1120	LmxM.12.1120.1
LmxM.13.0630	LmxM.13.0630.1
LmxM.14.0200	LmxM.14.0200.1
LmxM.16.1460	LmxM.16.1460.1
LmxM.16.1470	LmxM.16.1470.1
LmxM.17.1260	LmxM.17.1260.1
LmxM.18.0430	LmxM.18.0430.1
LmxM.19.0490	LmxM.19.0490.1
LmxM.20.1230	LmxM.20.1230.1
LmxM.21.1380	LmxM.21.1380.1
LmxM.21.1560	LmxM.21.1560.1
LmxM.21.1569	LmxM.21.1569.1
LmxM.22.0960	LmxM.22.0960.1
LmxM.22.1090	LmxM.22.1090.1
LmxM.22.1320	LmxM.22.1320.1
LmxM.23.0030	LmxM.23.0030.1
LmxM.24.0060	LmxM.24.0060.1
LmxM.25.0670	LmxM.25.0670.1
LmxM.25.1030	LmxM.25.1030.1
LmxM.25.1160	LmxM.25.1160.1
LmxM.26.1870	LmxM.26.1870.1
LmxM.26.2260	LmxM.26.2260.1
LmxM.27.0490	LmxM.27.0490.1
LmxM.27.1010	LmxM.27.1010.1
LmxM.27.1200	LmxM.27.1200.1
LmxM.27.2120	LmxM.27.2120.1
LmxM.27.2350	LmxM.27.2350.1
LmxM.28.1390	LmxM.28.1390.1
LmxM.28.1990	LmxM.28.1990.1
LmxM.29.0590	LmxM.29.0590.1
LmxM.29.1900	LmxM.29.1900.1
LmxM.29.3700	LmxM.29.3700.1
LmxM.30.0020	LmxM.30.0020.1
LmxM.30.0860	LmxM.30.0860.1
LmxM.31.1240	LmxM.31.1240.1
LmxM.31.2720	LmxM.31.2720.1
LmxM.31.2750	LmxM.31.2750.1
LmxM.32.3180	LmxM.32.3180.1
LmxM.33.0690	LmxM.33.0690.1
LmxM.33.1175	LmxM.33.1175.1
LmxM.33.2570	LmxM.33.2570.1
LmxM.33.3090	LmxM.33.3090.1
LmxM.33.3220	LmxM.33.3220.1
LmxM.33.3240	LmxM.33.3240.1
LmxM.33.3950	LmxM.33.3950.1
LmxM.34.0560	LmxM.34.0560.1
LmxM.34.1840	LmxM.34.1840.1
LmxM.34.2040	LmxM.34.2040.1
LmxM.34.2210	LmxM.34.2210.1
LmxM.34.2220	LmxM.34.2220.1
LmxM.34.2221	LmxM.34.2221.1
LmxM.34.3320	LmxM.34.3320.1
LmxM.34.4180	LmxM.34.4180.1
LmxM.34.4810	LmxM.34.4810.1
LmxM.34.4990	LmxM.34.4990.1
LmxM.36.2210	LmxM.36.2210.1
LmxM.36.2280	LmxM.36.2280.1
LmxM.36.2440	LmxM.36.2440.1
LmxM.36.2810	LmxM.36.2810.1
LmxM.36.3830	LmxM.36.3830.1
LmxM.36.5850	LmxM.36.5850.1
LmxM.36.5970	LmxM.36.5970.1
LmxM.36.6900	LmxM.36.6900.1
