Gene ID	source_id
LmxM.03.0250	LmxM.03.0250.1
LmxM.03.0430	LmxM.03.0430.1
LmxM.03.0440	LmxM.03.0440.1
LmxM.04.0470	LmxM.04.0470.1
LmxM.04.0750	LmxM.04.0750.1
LmxM.06.0410	LmxM.06.0410.1
LmxM.06.0415	LmxM.06.0415.1
LmxM.06.0570	LmxM.06.0570.1
LmxM.06.0580	LmxM.06.0580.1
LmxM.07.0500	LmxM.07.0500.1
LmxM.07.0510	LmxM.07.0510.1
LmxM.07.0680	LmxM.07.0680.1
LmxM.08.0280	LmxM.08.0280.1
LmxM.08_29.0030	LmxM.08_29.0030.1
LmxM.08_29.1070	LmxM.08_29.1070.1
LmxM.08_29.1090	LmxM.08_29.1090.1
LmxM.08_29.1800	LmxM.08_29.1800.1
LmxM.08_29.2370	LmxM.08_29.2370.1
LmxM.08_29.2460	LmxM.08_29.2460.1
LmxM.08_29.2461	LmxM.08_29.2461.1
LmxM.08_29.2860	LmxM.08_29.2860.1
LmxM.10.0070	LmxM.10.0070.1
LmxM.11.0760	LmxM.11.0760.1
LmxM.11.0770	LmxM.11.0770.1
LmxM.11.0900	LmxM.11.0900.1
LmxM.11.0960	LmxM.11.0960.1
LmxM.11.0970	LmxM.11.0970.1
LmxM.11.1130	LmxM.11.1130.1
LmxM.11.1190	LmxM.11.1190.1
LmxM.11.1360	LmxM.11.1360.1
LmxM.13.0560	LmxM.13.0560.1
LmxM.13.0570	LmxM.13.0570.1
LmxM.13.1220	LmxM.13.1220.1
LmxM.13.1230	LmxM.13.1230.1
LmxM.13.1670	LmxM.13.1670.1
LmxM.14.0150	LmxM.14.0150.1
LmxM.14.0780	LmxM.14.0780.1
LmxM.14.0950	LmxM.14.0950.1
LmxM.14.1270	LmxM.14.1270.1
LmxM.15.0200	LmxM.15.0200.1
LmxM.15.0370	LmxM.15.0370.1
LmxM.15.0380	LmxM.15.0380.1
LmxM.15.0950	LmxM.15.0950.1
LmxM.15.1000	LmxM.15.1000.1
LmxM.15.1203	LmxM.15.1203.1
LmxM.15.1207	LmxM.15.1207.1
LmxM.15.1470	LmxM.15.1470.1
LmxM.16.0160	LmxM.16.0160.1
LmxM.16.0460	LmxM.16.0460.1
LmxM.16.1170	LmxM.16.1170.1
LmxM.18.0230	LmxM.18.0230.1
LmxM.18.0620	LmxM.18.0620.1
LmxM.18.0800	LmxM.18.0800.1
LmxM.18.1400	LmxM.18.1400.1
LmxM.19.0060	LmxM.19.0060.1
LmxM.19.0390	LmxM.19.0390.1
LmxM.20.1650	LmxM.20.1650.1
LmxM.21.0730	LmxM.21.0730.1
LmxM.21.1050	LmxM.21.1050.1
LmxM.21.1060	LmxM.21.1060.1
LmxM.21.1070	LmxM.21.1070.1
LmxM.21.1180	LmxM.21.1180.1
LmxM.21.1550	LmxM.21.1550.1
