geneid,term,,,,,,,,,,,,
C4B63_44g211,glycosome,,,,,,,,,,,,
C4B63_157g46,membrane,,,,,,,,,,,,
C4B63_13g270,glycosome,,,,,,,,,,,,
C4B63_113g29,endoplasmic reticulum,,,,,,,,,,,,
C4B63_113g30,endoplasmic reticulum,,,,,,,,,,,,
C4B63_113g31,endoplasmic reticulum,,,,,,,,,,,,
BCY84_03837,cytostome,,,,,,,,,,,,
BCY84_14581,cytostome,,,,,,,,,,,,
C4B63_104g102,cytostome,,,,,,,,,,,,
C4B63_60g176,cytostome,,,,,,,,,,,,
C4B63_49g192,reservosome,,,,,,,,,,,,
C4B63_103g44,nucleus,,,,,,,,,,,,
C4B63_84g55,membrane,,,,,,,,,,,,
C4B63_57g88,nucleus,,,,,,,,,,,,
C4B63_207g2,nucleus,,,,,,,,,,,,
C4B63_4g72,nucleus,,,,,,,,,,,,
C4B63_57g88,nucleus,,,,,,,,,,,,
C4B63_10g406,nucleus,,,,,,,,,,,,
C4B63_43g161,nucleus,,,,,,,,,,,,
C4B63_9g272,nucleus,,,,,,,,,,,,
C4B63_43g7,reservosome,,,,,,,,,,,,
C4B63_43g8,reservosome,,,,,,,,,,,,
C4B63_43g9,reservosome,,,,,,,,,,,,
C4B63_43g10,reservosome,,,,,,,,,,,,
C4B63_43g11,reservosome,,,,,,,,,,,,
C4B63_43g12,reservosome,,,,,,,,,,,,
C4B63_43g13,reservosome,,,,,,,,,,,,
C4B63_43g14,reservosome,,,,,,,,,,,,
C4B63_43g15,reservosome,,,,,,,,,,,,
C4B63_43g16,reservosome,,,,,,,,,,,,
C4B63_43g17,reservosome,,,,,,,,,,,,
BCY84_03599,reservosome,,,,,,,,,,,,
BCY84_03600,reservosome,,,,,,,,,,,,
BCY84_03714,reservosome,,,,,,,,,,,,
BCY84_11480,reservosome,,,,,,,,,,,,
BCY84_11481,reservosome,,,,,,,,,,,,
BCY84_11482,reservosome,,,,,,,,,,,,
BCY84_11483,reservosome,,,,,,,,,,,,
BCY84_11484,reservosome,,,,,,,,,,,,
BCY84_11485,reservosome,,,,,,,,,,,,
BCY84_11486,reservosome,,,,,,,,,,,,
BCY84_11487,reservosome,,,,,,,,,,,,
C4B63_47g35,reservosome,,,,,,,,,,,,
TcCLB.506247.220,reservosome,,,,,,,,,,,,
TcCLB.508317.10,reservosome,,,,,,,,,,,,
TcCLB.506529.550,reservosome,,,,,,,,,,,,
TcCLB.511229.50,reservosome,,,,,,,,,,,,
TcCLB.510535.100,reservosome,,,,,,,,,,,,
TcCLB.506563.200,reservosome,,,,,,,,,,,,
TcCLB.506025.4,reservosome,,,,,,,,,,,,
TcCLB.509717.100,reservosome,,,,,,,,,,,,
TcCLB.507681.200,reservosome,,,,,,,,,,,,
TcCLB.503723.60,reservosome,,,,,,,,,,,,
TcCLB.511127.120,reservosome,,,,,,,,,,,,
TcCLB.507657.20,reservosome,,,,,,,,,,,,
TcCLB.509213.120,reservosome,,,,,,,,,,,,
C4B63_187g86c,reservosome,,,,,,,,,,,,
C4B63_32g1409c,reservosome,,,,,,,,,,,,
TcBrA4_0010400,reservosome,,,,,,,,,,,,
TcG_08207,reservosome,,,,,,,,,,,,
TcCLB.511391.180,reservosome,,,,,,,,,,,,
TcCLB.510825.30,reservosome,,,,,,,,,,,,
TcCLB.511391.90,reservosome,,,,,,,,,,,,
TcCLB.511491.70,reservosome,,,,,,,,,,,,
TcCLB.504033.220,reservosome,,,,,,,,,,,,
TcCLB.507801.179,reservosome,,,,,,,,,,,,
TcCLB.507811.60,reservosome,,,,,,,,,,,,
TcCLB.503689.4,reservosome,,,,,,,,,,,,
TcCLB.511711.80,reservosome,,,,,,,,,,,,
TcCLB.510187.270,reservosome,,,,,,,,,,,,
TcCLB.510765.30,reservosome,,,,,,,,,,,,
TcCLB.509539.50,reservosome,,,,,,,,,,,,
TcCLB.508461.270,reservosome,,,,,,,,,,,,
TcCLB.508837.74,reservosome,,,,,,,,,,,,
TcCLB.510533.40,reservosome,,,,,,,,,,,,
TcCLB.506649.20,reservosome,,,,,,,,,,,,
TcCLB.505763.19,reservosome,,,,,,,,,,,,
TcCLB.506989.30,reservosome,,,,,,,,,,,,
TcCLB.508965.14,reservosome,,,,,,,,,,,,
TcCLB.510773.20,reservosome,,,,,,,,,,,,
